"Year","Country","Registered","Senior","U20","Female","MaleRefs","FemaleRefs","IndoorRinks","OutdoorRinks","Population","WM","WMI","WMII","WMIII","WM20","WM20I","WM20II","WM20III","WM18","WM18I","WM18II","WM18III","OGM","WW","WWI","WWII","WWIII","WWIV","WWV","WW18","WW18I","WW18II","OGW"
2012,"Canada",617107,74626,455806,86675,31572,1834,2486,5000,34300083,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2012,"China",610,118,308,184,63,32,46,43,1343239923,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Chinese Taipei",848,142,630,76,84,8,4,0,23113901,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Croatia",536,114,379,43,12,1,2,4,4480043,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,"Czech Republic",95094,58654,34113,2327,1532,71,148,21,10177300,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2012,"Denmark",4405,1764,2245,396,100,3,25,0,5543453,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2012,"DPR Korea",1575,640,420,515,20,0,3,12,24589122,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2012,"Estonia",1510,442,976,92,142,12,6,15,1274709,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Finland",56626,16752,35929,3945,1709,51,246,30,5262930,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2012,"FYR Macedonia",82,45,37,0,0,0,1,4,2082370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"France",17381,6400,9767,1214,123,6,124,5,65630692,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Georgia",266,77,189,0,4,0,4,1,4570934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Germany",27068,8042,16561,2465,184,13,198,45,81305856,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2012,"Great Britain",5119,1484,2897,738,285,27,46,0,63047162,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,"Greece",713,463,153,97,4,2,0,0,10767827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,"Hong Kong",496,62,371,63,9,0,4,0,7153519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Hungary",3320,218,2713,389,75,6,18,18,9958453,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2012,"Iceland",587,58,441,88,22,3,3,0,313183,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012,"India",724,400,285,39,10,0,1,8,1205073612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Ireland",297,189,70,38,14,4,1,0,4722028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,"Israel",653,270,374,9,5,0,2,0,7590758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Italy",6774,1720,4571,483,139,5,45,24,61261254,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Japan",19975,9999,7256,2720,928,94,99,25,127368088,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,"Kazakhstan",4067,483,3491,93,41,7,17,56,17522010,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Korea",1636,93,1365,178,55,9,43,4,48860500,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2012,"Kuwait",320,84,122,114,1,1,2,0,2646314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Kyrgyzstan",330,228,102,0,6,0,2,4,5496737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Latvia",3979,2348,1515,116,185,28,16,0,2191580,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2012,"Liechtenstein",80,70,10,0,0,0,0,0,36713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Lithuania",547,137,410,0,19,1,6,0,3525761,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,"Luxembourg",392,130,235,27,26,8,3,1,509074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,"Macau",106,28,63,15,0,0,1,0,578025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Malaysia",184,91,72,21,1,0,1,0,29179952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Mexico",1568,327,1139,102,18,2,20,0,114975406,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Mongolia",1001,477,524,0,8,0,0,12,3179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,"Morocco",137,71,52,14,3,0,2,0,32309239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Namibia",438,104,215,119,47,10,3,2,2165828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
