simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
881,True,7,True,207.0,326976.309178744,146305.21464912075,6902.0,220874.0,289897.0,410688.0,690232.0
881,True,8,True,205.0,325311.1512195122,141903.54879380588,13599.0,231181.0,292375.0,373969.0,679943.0
881,True,9,True,205.0,327837.23902439023,121426.11535119134,6659.0,239738.0,299673.0,392904.0,665940.0
881,True,10,True,208.0,324839.9278846154,130207.99456454793,39909.0,237794.0,286018.0,379140.0,665158.0
882,True,1,True,213.0,317511.76056338026,156216.9447011079,27680.0,207603.0,276804.0,373685.0,692009.0
882,True,2,True,204.0,348452.637254902,154043.77205131925,14649.0,234384.0,307629.0,395523.0,732451.0
882,True,3,True,212.0,353420.391509434,169739.70710082946,7401.0,229446.0,318263.0,423734.5,740148.0
882,True,4,True,207.0,337190.08212560386,155916.27105055057,14744.0,228533.0,302253.0,405461.0,737203.0
882,True,5,True,217.0,353222.53917050693,157618.50983442756,21579.0,266143.0,309302.0,424391.0,719307.0
882,True,6,True,214.0,331077.4018691589,149006.43760339884,6943.0,215246.0,319397.0,395774.0,694341.0
882,True,7,True,190.0,309021.05263157893,135603.60181071723,13731.0,219697.0,281487.0,355291.5,686553.0
882,True,8,True,206.0,338941.7475728155,153002.85554684,20723.0,241766.0,314296.0,421363.0,690760.0
882,True,9,True,200.0,323433.915,137093.19845166028,32706.0,222404.0,287817.0,385936.0,654129.0
882,True,10,True,188.0,308974.30319148937,127537.37417969252,6611.0,229744.0,284287.0,363623.0,661133.0
883,True,1,True,212.0,316757.17452830187,147322.8400978137,27680.0,207603.0,276804.0,396175.0,692009.0
883,True,2,True,219.0,352228.76712328766,167128.7936639703,15063.0,225946.0,316325.0,451893.0,753155.0
883,True,3,True,206.0,341162.62621359224,161410.04696526143,14944.0,216681.0,313815.0,448306.0,747177.0
883,True,4,True,199.0,338735.5628140704,152106.95087221108,7300.0,233601.0,292001.0,397851.0,730002.0
883,True,5,True,211.0,349113.6350710901,141096.47361876877,27876.0,254370.5,334515.0,428597.5,696906.0
