simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
250,True,3,True,228.0,549079.0570175438,291424.8999595939,11676.0,361956.0,490392.0,750183.0,1167599.0
250,True,4,True,225.0,517649.41333333333,267164.8738365352,23423.0,363057.0,480173.0,655846.0,1171153.0
250,True,5,True,240.0,595470.825,323269.6523089418,11977.0,383273.0,527001.0,793495.25,1197729.0
250,True,6,True,246.0,553009.4634146341,307707.90479585965,11919.0,372460.5,500587.0,679368.0,1191873.0
250,True,7,True,234.0,565034.2136752136,271533.96213481703,12383.0,411749.75,532488.0,668706.0,1238344.0
250,True,8,True,226.0,599772.7743362832,338312.60235197656,28145.0,450328.0,605128.0,742337.0,1407274.0
250,True,9,True,254.0,590568.8897637795,323653.40947600466,12807.0,435427.0,576300.0,739585.25,1280667.0
250,True,10,True,232.0,548257.0043103448,265615.2984997034,11441.0,388977.0,503383.0,720752.0,1144051.0
251,True,1,True,235.0,400877.0680851064,197174.70858154594,17701.0,256668.0,354025.0,495635.0,885063.0
251,True,2,True,231.0,485919.1948051948,244323.89184058827,21864.0,344350.5,459134.0,623111.0,1093176.0
251,True,3,True,243.0,556261.7242798354,330034.1546910164,12454.0,348701.0,523052.0,716083.5,1245362.0
251,True,4,True,247.0,653664.6599190283,365077.51357279404,13783.0,454842.0,606456.0,882118.0,1378310.0
251,True,5,True,227.0,554284.6211453745,302748.9805620203,11805.0,342358.0,484024.0,755550.0,1180546.0
251,True,6,True,234.0,527824.2094017094,298315.34263940103,12001.0,348019.0,480027.0,696039.0,1200067.0
251,True,7,True,240.0,522429.45,269988.51556710957,12522.0,397574.5,513403.0,651146.0,1252203.0
251,True,8,True,244.0,606772.1680327869,323708.65373643057,12955.0,440478.0,557075.0,777314.0,1295524.0
251,True,9,True,233.0,617463.5193133047,343949.00721591135,13643.0,436587.0,573020.0,859530.0,1364334.0
251,True,10,True,255.0,729262.2784313726,399101.5894829977,14898.0,521444.0,700225.0,983295.0,1489841.0
252,True,1,True,236.0,425205.2838983051,210562.85326174597,44253.0,281007.5,362876.0,515549.5,885063.0
252,True,2,True,242.0,571167.6239669422,301086.8277330094,12902.0,374167.0,503191.0,748335.0,1290232.0
